,timestamp,surf.optimalScore,spot,spot_id,date
0,1674201600,2,PlesurePoint,5842041f4e65fad6a7708807,2023-01-20
0,1674201600,0,UpperTrestles,5842041f4e65fad6a7708887,2023-01-20
0,1674201600,0,SanClementeStateBeach,5842041f4e65fad6a77088cf,2023-01-20
0,1674201600,0,LowerTrestles,5842041f4e65fad6a770888a,2023-01-20
0,1674201600,2,SteamerLane,5842041f4e65fad6a7708805,2023-01-20
0,1674201600,0,TStreetOverview,5842041f4e65fad6a7708830,2023-01-20
0,1674201600,0,Church,5842041f4e65fad6a770888b,2023-01-20
0,1674201600,0,Strands,5842041f4e65fad6a77088d5,2023-01-20
0,1674201600,2,Jacks,5842041f4e65fad6a770880b,2023-01-20
0,1674201600,0,SaltCreekOverview,5842041f4e65fad6a770882e,2023-01-20
0,1674201600,0,Lowers,5842041f4e65fad6a770888a,2023-01-20
